Explored 1965 nodes
Solutions to 8-Queens:
Solution #40:  Q1 = 4,  Q2 = 7,  Q3 = 1,  Q4 = 8,  Q5 = 5,  Q6 = 2,  Q7 = 6,  Q8 = 3,  
Solution #41:  Q1 = 4,  Q2 = 7,  Q3 = 3,  Q4 = 8,  Q5 = 2,  Q6 = 5,  Q7 = 1,  Q8 = 6,  
Solution #42:  Q1 = 4,  Q2 = 7,  Q3 = 5,  Q4 = 2,  Q5 = 6,  Q6 = 1,  Q7 = 3,  Q8 = 8,  
Solution #43:  Q1 = 4,  Q2 = 7,  Q3 = 5,  Q4 = 3,  Q5 = 1,  Q6 = 6,  Q7 = 8,  Q8 = 2,  
Solution #44:  Q1 = 4,  Q2 = 8,  Q3 = 1,  Q4 = 3,  Q5 = 6,  Q6 = 2,  Q7 = 7,  Q8 = 5,  
Solution #45:  Q1 = 4,  Q2 = 8,  Q3 = 1,  Q4 = 5,  Q5 = 7,  Q6 = 2,  Q7 = 6,  Q8 = 3,  
Solution #46:  Q1 = 4,  Q2 = 8,  Q3 = 5,  Q4 = 3,  Q5 = 1,  Q6 = 7,  Q7 = 2,  Q8 = 6,  
Solution #47:  Q1 = 5,  Q2 = 1,  Q3 = 4,  Q4 = 6,  Q5 = 8,  Q6 = 2,  Q7 = 7,  Q8 = 3,  
Solution #48:  Q1 = 5,  Q2 = 1,  Q3 = 8,  Q4 = 4,  Q5 = 2,  Q6 = 7,  Q7 = 3,  Q8 = 6,  
Solution #49:  Q1 = 5,  Q2 = 1,  Q3 = 8,  Q4 = 6,  Q5 = 3,  Q6 = 7,  Q7 = 2,  Q8 = 4,  
Solution #50:  Q1 = 5,  Q2 = 2,  Q3 = 4,  Q4 = 6,  Q5 = 8,  Q6 = 3,  Q7 = 1,  Q8 = 7,  
Solution #51:  Q1 = 5,  Q2 = 2,  Q3 = 4,  Q4 = 7,  Q5 = 3,  Q6 = 8,  Q7 = 6,  Q8 = 1,  
Solution #52:  Q1 = 5,  Q2 = 2,  Q3 = 6,  Q4 = 1,  Q5 = 7,  Q6 = 4,  Q7 = 8,  Q8 = 3,  
Solution #53:  Q1 = 5,  Q2 = 2,  Q3 = 8,  Q4 = 1,  Q5 = 4,  Q6 = 7,  Q7 = 3,  Q8 = 6,  
Solution #54:  Q1 = 5,  Q2 = 3,  Q3 = 1,  Q4 = 6,  Q5 = 8,  Q6 = 2,  Q7 = 4,  Q8 = 7,  
Solution #55:  Q1 = 5,  Q2 = 3,  Q3 = 1,  Q4 = 7,  Q5 = 2,  Q6 = 8,  Q7 = 6,  Q8 = 4,  
Solution #56:  Q1 = 5,  Q2 = 3,  Q3 = 8,  Q4 = 4,  Q5 = 7,  Q6 = 1,  Q7 = 6,  Q8 = 2,  
Solution #57:  Q1 = 5,  Q2 = 7,  Q3 = 1,  Q4 = 3,  Q5 = 8,  Q6 = 6,  Q7 = 4,  Q8 = 2,  
Solution #58:  Q1 = 5,  Q2 = 7,  Q3 = 1,  Q4 = 4,  Q5 = 2,  Q6 = 8,  Q7 = 6,  Q8 = 3,  
